Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Ashwagandha Coffee new Comparison Table (product.metafields.custom.ashwagandha_coffee_new_comparison_table),ash_how_to_use (product.metafields.custom.ash_how_to_use),ash_image_review (product.metafields.custom.ash_image_review),ash_ingredients (product.metafields.custom.ash_ingredients),Ash Refill Text (product.metafields.custom.ash_refill_text),Ash Shipping text (product.metafields.custom.ash_shipping_text),Ash Subscription Paragraph (product.metafields.custom.ash_subscription_paragraph),Ash subtitle (product.metafields.custom.ash_subtitle),ash_USP (product.metafields.custom.ash_usp),Badges (product.metafields.custom.badges),Caffeine (product.metafields.custom.caffeine),Drinkware Features (product.metafields.custom.drinkware_features),FAQs (product.metafields.custom.faqs),Form (product.metafields.custom.form),Gift Type (product.metafields.custom.gift_type),Ingredients (product.metafields.custom.ingredients),No. of Cups (product.metafields.custom.no_of_cups),Packaging (product.metafields.custom.packaging),Product Card Subtitle (product.metafields.custom.product_card_subtitle),seo_description (product.metafields.custom.seo_description),SE Date of Picking (product.metafields.custom.se_date_of_picking),SE Estate (product.metafields.custom.se_estate),SE Grade (product.metafields.custom.se_grade),SE Invoice (product.metafields.custom.se_invoice),SE Origin (product.metafields.custom.se_origin),SE Season (product.metafields.custom.se_season),Steeping Instructions - Hot Brew (product.metafields.custom.steeping_instructions_hot_brew),Steeping Instructions - Iced Brew (product.metafields.custom.steeping_instructions_iced_brew),Subtitle (product.metafields.custom.subtitle),Tasting Notes (product.metafields.custom.tasting_notes),Type Filter (product.metafields.custom.type_filter),Whats Inside (product.metafields.custom.whats_inside),Product subtitle (product.metafields.descriptors.subtitle),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Dietary preferences (product.metafields.shopify.dietary-preferences),Flavor (product.metafields.shopify.flavor),Tea input type (product.metafields.shopify.tea-input-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Included / UK,Price / UK,Compare At Price / UK,Status
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,2026 Margaret's Hope Premium Darjeeling First Flush Black Tea-100g,"<p><span data-sheets-root=""1"">An early First Flush tea made from the young shoots and buds, herbaceous, sweet and delightfully floral, harvested at the onset of Spring from one of the most romantic tea estates in Darjeeling.</span></p>",VAHDAM® Global,"Food, Beverages & Tobacco > Beverages > Tea & Infusions",Single Estate,"Restrict_CA, Restrict_ES, Restrict_GR, Restrict_IT, Restrict_MX, Restrict_US",false,Title,Default Title,,,,,,,,7P-QWN3-QDC9,100.0,shopify,deny,manual,29.99,29.99,true,true,,,,,LF010004001-BT-USA,https://cdn.shopify.com/s/files/1/1141/4138/files/margaret_s_hope_premium-2.jpg?v=1747136150,1,"",false,Margaret’s Hope Darjeeling First Flush Black Tea | Single Estate | VAHDAM®,"Shop 2026 Margaret's Hope Darjeeling First Flush Black Tea. Bright, floral and smooth spring harvest from a celebrated estate.",,,,,,,,,,,,,,,,,,,,,,Medium Caffeine,,what-are-the-tasting-notes-of-this-tea-1; is-this-a-limited-edition-tea-1; does-this-tea-contain-caffeine-3; where-is-margarets-hope-estate-located,Loose Leaf,,margarets-hope-moonlight-darjeeling-first-flush-black,'50,Vacuum Packaged,Loose Leaf | 50 Cups,,'2026-04-08,margarets-hope-premium-ff-24,FTGFOP1,DJ 76/26,"Darjeeling, India",Spring/First Flush,place-1-tea-spoon-leaves-in-a-cup-or-tea-pot; 200-ml-freshly-boiled-water-over-the-leaves; water-temperature-194-f-212-f-90-c-100-c; brew-for-3-5-mins-strain-the-leaves; to-be-served-without-milk,for-iced-tea-use-2-tea-spoons-brew-for-5-mins; refrigerate-for-3-4-hours-add-ice-cubes-sweetener-1,Loose Leaf Tea | 50 Cups | 100 gm,"Grassy, Light-bodied,Nutty",Single Estate,,,,,,,,,,,,g,,,true,,,true,,,true,,,draft
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/3_52f47683-ecda-4e80-9989-46644ca194b3.jpg?v=1777549999,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/margaret_s_hope_premium-1.jpg?v=1747136150,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/margaret_s_hope_premium.jpg?v=1747136150,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/5_4339d09a-7dbd-44c7-a66a-2a2f64e7e8cd.jpg?v=1777549999,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/11_CN_PN_Teach_me_cf7b03e6-ee38-4e31-b056-91472db04beb.jpg?v=1776171687,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/10_farmer_8a753d39-d760-4e83-aac3-d9ab45db4997.jpg?v=1776171687,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/Founderstory_1.jpg?v=1776172167,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-castleton-premium-darjeeling-first-flush-black-tea-dj-ff-bt,2026 Castleton Premium Darjeeling First Flush Black Tea DJ FF BT-100g,"<p><span data-sheets-root=""1"">An early spring tea harvested from the high-altitude sections, it is mellow and light, floral and fragrant, and it comes from a world-record-holding tea estate in Darjeeling.</span></p>",VAHDAM® Global,"Food, Beverages & Tobacco > Beverages > Tea & Infusions",Single Estate,"Restrict_AD, Restrict_AE, Restrict_AL, Restrict_AM, Restrict_AR, Restrict_AT, Restrict_AU, Restrict_AZ, Restrict_BD, Restrict_BE, Restrict_BG, Restrict_BH, Restrict_BM, Restrict_BN, Restrict_BR, Restrict_BY, Restrict_BZ, Restrict_CA, Restrict_CH, Restrict_CL, Restrict_CN, Restrict_CO, Restrict_CY, Restrict_CZ, Restrict_DE, Restrict_DK, Restrict_DZ, Restrict_EC, Restrict_EE, Restrict_EG, Restrict_ES, Restrict_FI, Restrict_FJ, Restrict_FR, Restrict_GB, Restrict_GE, Restrict_GI, Restrict_GP, Restrict_GR, Restrict_GT, Restrict_HK, Restrict_HR, Restrict_HU, Restrict_ID, Restrict_IE, Restrict_IL, Restrict_IM, Restrict_IN, Restrict_IS, Restrict_IT, Restrict_JE, Restrict_JM, Restrict_JP, Restrict_KR, Restrict_KW, Restrict_KY, Restrict_KZ, Restrict_LB, Restrict_LK, Restrict_LT, Restrict_LU, Restrict_LV, Restrict_MA, Restrict_MD, Restrict_ME, Restrict_MK, Restrict_MO, Restrict_MT, Restrict_MU, Restrict_MV, Restrict_MX, Restrict_MY, Restrict_NG, Restrict_NL, Restrict_NO, Restrict_NZ, Restrict_OM, Restrict_PE, Restrict_PH, Restrict_PK, Restrict_PL, Restrict_PT, Restrict_QA, Restrict_RE, Restrict_RO, Restrict_RS, Restrict_RU, Restrict_SA, Restrict_SE, Restrict_SG, Restrict_SI, Restrict_SK, Restrict_SZ, Restrict_TH, Restrict_TR, Restrict_TT, Restrict_TW, Restrict_UA, Restrict_US, Restrict_UY, Restrict_UZ, Restrict_VN, Restrict_ZA, Restrict_ZW",false,Title,Default Title,,,,,,,,UQ-TLHF-CCQU,0.0,shopify,deny,manual,31.99,31.99,true,true,,,,,LF010004000-BT-USA,https://cdn.shopify.com/s/files/1/1141/4138/files/Castleton_premium-2.jpg?v=1747135695,1,"",false,2026 Castleton Premium Darjeeling First Flush Black Tea | VAHDAM®,Buy 2026 Castleton Premium First Flush Darjeeling black tea with elegant floral notes from iconic. Limited quantity single-estate loose leaf rarity.,,,,,,,,,,,,,,,,,,,,,,Medium Caffeine,,what-is-first-flush-2; what-are-the-tasting-notes-of-this-tea; is-this-a-limited-edition-tea; does-this-tea-contain-caffeine-2,Loose Leaf,,castleton-premium-darjeeling-first-flush-black-tea,'50,Vacuum Packaged,Loose Leaf | 50 Cups,,'2026-04-14,castleton-premium-ff-24,FTGFOP1,DJ 52/26,"Darjeeling, India",Spring/First Flush,place-1-tea-spoon-leaves-in-a-cup-or-tea-pot; 200-ml-freshly-boiled-water-over-the-leaves; water-temperature-194-f-212-f-90-c-100-c; brew-for-3-5-mins-strain-the-leaves; to-be-served-without-milk,for-iced-tea-use-2-tea-spoons-brew-for-5-mins; refrigerate-for-3-4-hours-add-ice-cubes-sweetener-1,Loose Leaf Tea | 50 Cups,"Sweet, Roasted, Crisp",Single Estate,,,,,,,,,,,,kg,,,true,,,true,,,true,,,draft
2026-castleton-premium-darjeeling-first-flush-black-tea-dj-ff-bt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1141/4138/files/3_db3ff293-d7d9-4cf0-81cb-fbdc7325d8a9.jpg?v=1777550256,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
