Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Ashwagandha Coffee new Comparison Table (product.metafields.custom.ashwagandha_coffee_new_comparison_table),ash_benefits_section (product.metafields.custom.ash_benefits_section),ash_clinical_studies (product.metafields.custom.ash_clinical_studies),ash_comparison_table (product.metafields.custom.ash_comparison_table),ash_freebies (product.metafields.custom.ash_freebies),ash_how_to_use (product.metafields.custom.ash_how_to_use),ash_image_review (product.metafields.custom.ash_image_review),ash_ingredients (product.metafields.custom.ash_ingredients),Ash Mobile How to use (product.metafields.custom.ash_mobile_how_to_use),Ash % Off Tag (product.metafields.custom.ash_off_tag),Ash Product Price (product.metafields.custom.ash_product_price),Ash Refill Text (product.metafields.custom.ash_refill_text),Ash Shipping text (product.metafields.custom.ash_shipping_text),Ash Slashed Product Price (product.metafields.custom.ash_slashed_product_price),Ash Subscription Paragraph (product.metafields.custom.ash_subscription_paragraph),ash_subtitle (product.metafields.custom.ash_subtitle),ash_USP (product.metafields.custom.ash_usp),ash_video_review (product.metafields.custom.ash_video_review),Badges (product.metafields.custom.badges),Bags / Loose Leaf (product.metafields.custom.bags_loose_leaf),Caffeine (product.metafields.custom.caffeine),Comparison Table (Header/Footer) (product.metafields.custom.comparison_table_header_footer),Cost per Cup (product.metafields.custom.cost_per_cup),Drinkware Features (product.metafields.custom.drinkware_features),FAQs (product.metafields.custom.faqs),Form (product.metafields.custom.form),Gift Type (product.metafields.custom.gift_type),Ingredients (product.metafields.custom.ingredients),Max Quantity To Order (product.metafields.custom.max_quantity_to_order),No. of Cups (product.metafields.custom.no_of_cups),No. of Serves (product.metafields.custom.no_of_serves),Packaging (product.metafields.custom.packaging),Product Card Subtitle (product.metafields.custom.product_card_subtitle),Recipes (product.metafields.custom.recipes),Reel Section (Header/Footer) (product.metafields.custom.reel_section_header_footer),Return Shipment Icon Text (product.metafields.custom.return_shipment_icon_text),seo_description (product.metafields.custom.seo_description),SE Date of Picking (product.metafields.custom.se_date_of_picking),SE Estate (product.metafields.custom.se_estate),SE Grade (product.metafields.custom.se_grade),SE Invoice (product.metafields.custom.se_invoice),SE Origin (product.metafields.custom.se_origin),SE Season (product.metafields.custom.se_season),Sold in last 24 hours (product.metafields.custom.sold_in_last_24_hours),Steal Deal Products (product.metafields.custom.steal_deal_products),Steeping Instructions - Hot Brew (product.metafields.custom.steeping_instructions_hot_brew),Steeping Instructions - Iced Brew (product.metafields.custom.steeping_instructions_iced_brew),Subtitle (product.metafields.custom.subtitle),Tasting Notes  (product.metafields.custom.tasting_notes),Text With Image (Header/Footer) (product.metafields.custom.text_with_image_header_footer),Type Filter (product.metafields.custom.type_filter),Video Review (Header/Footer) (product.metafields.custom.video_review_header_footer),What’s Inside (product.metafields.custom.whats_inside),Whats inside - Spice (product.metafields.custom.whats_inside_spice),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Caffeine content (product.metafields.shopify.caffeine-content),Coffee roast (product.metafields.shopify.coffee-roast),Color (product.metafields.shopify.color-pattern),Country (product.metafields.shopify.country),Dietary preferences (product.metafields.shopify.dietary-preferences),Drinkware material (product.metafields.shopify.drinkware-material),Flavor (product.metafields.shopify.flavor),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Tea input type (product.metafields.shopify.tea-input-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Status
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,2026 Margaret's Hope Premium Darjeeling First Flush Black Tea-100g,"<p><span data-sheets-root=""1"">An early First Flush tea made from the young shoots and buds, herbaceous, sweet and delightfully floral, harvested at the onset of Spring from one of the most romantic tea estates in Darjeeling.</span></p>",VAHDAM® UK,"Food, Beverages & Tobacco > Beverages > Tea & Infusions > Tea",Single Estate,"",false,Title,Default Title,,,,,,,,7P-QWN3-QDC9,0.0,shopify,deny,manual,22.99,22.99,true,true,,,,,LF010004001-BT-USA,https://cdn.shopify.com/s/files/1/0684/3603/3827/files/margaret_s_hope_premium-2.jpg?v=1758088865,1,"",false,2026 Margaret's Hope Premium Darjeeling First Flush Black Tea-100g | VAHDAM®,"Shop 2026 Margaret's Hope Darjeeling First Flush Black Tea. Bright, floral and smooth spring harvest from a celebrated estate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium Caffeine,,'0.45,,what-are-the-tasting-notes-of-this-tea; is-this-a-limited-edition-tea; does-this-tea-contain-caffeine; where-is-margarets-hope-estate-located,,,margarets-hope-moonlight-darjeeling-first-flush-black,,'50,,Vacuum Packaged,Loose Leaf | 50 Cups,,,,,'2026-04-08,margarets-hope-premium-sf-25,FTGFOP1,DJ 76/26,"Darjeeling, India",Spring/First Flush,,,place-1-tea-spoon-leaves-in-a-cup-or-tea-pot; pour-7-fl-oz-200-ml-freshly-boiled-water-over-the-leaves; water-temperature-194-f-212-f-90-c-100-c; brew-for-3-5-mins-strain-the-leaves; can-be-served-with-or-without-milk,for-iced-tea-use-2-tea-spoons-brew-for-5-mins-1; refrigerate-for-3-4-hours-add-ice-cubes-sweetener-1,Loose Leaf Tea | 50 Cups | 100 gm,"Grassy, Light-bodied,Nutty",,Single Estate,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0684/3603/3827/files/3_52f47683-ecda-4e80-9989-46644ca194b3.jpg?v=1777486349,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0684/3603/3827/files/margaret_s_hope_premium-1.jpg?v=1758088865,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0684/3603/3827/files/margaret_s_hope_premium.jpg?v=1758088865,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0684/3603/3827/files/5_4339d09a-7dbd-44c7-a66a-2a2f64e7e8cd.jpg?v=1777486348,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0684/3603/3827/files/Common_Listing_01.jpg?v=1776177417,6,Earl Grey Black Tea Bags Citrus 100 Count VAHDAM®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0684/3603/3827/files/Common_Listing_02.jpg?v=1776177417,7,Earl Grey Black Tea Bags Citrus 100 Count VAHDAM®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0684/3603/3827/files/Common_Listing_03.jpg?v=1776177417,8,Earl Grey Black Tea Bags Citrus 100 Count VAHDAM®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-moonlight-darjeeling-first-flush-black-tea2026,2026 Margaret's Hope Moonlight Darjeeling First Flush Black Tea-50g,"<p>From the romantic, high-elevation Margaret's Hope estate, this tea is renowned for its flavorful &amp; elegant Darjeeling first flush experience.</p>",VAHDAM® UK,"Food, Beverages & Tobacco > Beverages > Tea & Infusions",Single Estate,"2023, discount_quantity2023, first_flush_offer, single estate, single estate-2023",false,Title,Default Title,,,,,,,,LF005001976-SE,45359.237,shopify,deny,manual,30.99,30.99,true,true,,,,,'810131830502,https://cdn.shopify.com/s/files/1/0684/3603/3827/files/MargaretMoonlight.jpg?v=1777485519,1,"",false,2026 Margaret's Hope Moonlight Darjeeling First Flush Black Tea | VAHDAM®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loose Leaf,Medium Caffeine,,'1.23,,what-makes-margarets-hope-moonlight-darjeeling-first-flush-black-tea-special; can-darjeeling-first-flush-black-tea-be-re-steeped; how-does-the-altitude-of-the-tea-estate-affect-the-flavor-of-darjeeling-first-flush-black-tea; what-is-the-significance-of-the-grading-system-sftgfop-1-for-these-teas,Loose Leaf,,margarets-hope-moonlight-darjeeling-first-flush-black,,'25,,,Loose Leaf | 25 Cups,,,,,'2026-04-02,margarets-hope-premium-sf-25,FTGFOP1,DJ 75/26,Darjeeling,Spring / First Flush,,,,,Loose Leaf | 25 Cups,"Crisp, Fruity & Toasty",,Single Estate,,,,,,,,,,,,,,,,,,,,,lb,,39.99,true,,,draft
2026-margarets-hope-moonlight-darjeeling-first-flush-black-tea2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0684/3603/3827/files/Margaret_shope-3.jpg?v=1777485464,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
