Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Ashwagandha Coffee new Comparison Table (product.metafields.custom.ashwagandha_coffee_new_comparison_table),ash_benefits_section (product.metafields.custom.ash_benefits_section),ash_clinical_studies (product.metafields.custom.ash_clinical_studies),ash_comparison_table (product.metafields.custom.ash_comparison_table),ash_freebies (product.metafields.custom.ash_freebies),ash_how_to_use (product.metafields.custom.ash_how_to_use),ash_image_review (product.metafields.custom.ash_image_review),ash_ingredients (product.metafields.custom.ash_ingredients),Ash Mobile How to use (product.metafields.custom.ash_mobile_how_to_use),Ash % Off Tag (product.metafields.custom.ash_off_tag),Ash Product Price (product.metafields.custom.ash_product_price),Ash Refill Text (product.metafields.custom.ash_refill_text),Ash Shipping text (product.metafields.custom.ash_shipping_text),Ash Slashed Product Price (product.metafields.custom.ash_slashed_product_price),Ash Subscription Paragraph (product.metafields.custom.ash_subscription_paragraph),ash_subtitle (product.metafields.custom.ash_subtitle),ash_USP (product.metafields.custom.ash_usp),ash_video_review (product.metafields.custom.ash_video_review),Badges (product.metafields.custom.badges),Bags / Loose Leaf (product.metafields.custom.bags_loose_leaf),Caffeine (product.metafields.custom.caffeine),Comparison Table (Header/Footer) (product.metafields.custom.comparison_table_header_footer),Cost per Cup (product.metafields.custom.cost_per_cup),Drinkware Features (product.metafields.custom.drinkware_features),FAQs (product.metafields.custom.faqs),Form (product.metafields.custom.form),Gift Type (product.metafields.custom.gift_type),Ingredients (product.metafields.custom.ingredients),Max Quantity To Order (product.metafields.custom.max_quantity_to_order),No. of Cups (product.metafields.custom.no_of_cups),No. of Serves (product.metafields.custom.no_of_serves),Packaging (product.metafields.custom.packaging),Product Card Subtitle (product.metafields.custom.product_card_subtitle),Recipes (product.metafields.custom.recipes),Reel Section (Header/Footer) (product.metafields.custom.reel_section_header_footer),Return Shipment Icon Text (product.metafields.custom.return_shipment_icon_text),seo_description (product.metafields.custom.seo_description),SE Date of Picking (product.metafields.custom.se_date_of_picking),SE Estate (product.metafields.custom.se_estate),SE Grade (product.metafields.custom.se_grade),SE Invoice (product.metafields.custom.se_invoice),SE Origin (product.metafields.custom.se_origin),SE Season (product.metafields.custom.se_season),Sold in last 24 hours (product.metafields.custom.sold_in_last_24_hours),Steal Deal Products (product.metafields.custom.steal_deal_products),Steeping Instructions - Hot Brew (product.metafields.custom.steeping_instructions_hot_brew),Steeping Instructions - Iced Brew (product.metafields.custom.steeping_instructions_iced_brew),Subtitle (product.metafields.custom.subtitle),Tasting Notes  (product.metafields.custom.tasting_notes),Text With Image (Header/Footer) (product.metafields.custom.text_with_image_header_footer),Type Filter (product.metafields.custom.type_filter),Video Review (Header/Footer) (product.metafields.custom.video_review_header_footer),What’s Inside (product.metafields.custom.whats_inside),Whats inside - Spice (product.metafields.custom.whats_inside_spice),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Caffeine content (product.metafields.shopify.caffeine-content),Coffee roast (product.metafields.shopify.coffee-roast),Color (product.metafields.shopify.color-pattern),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary supplements (product.metafields.shopify.dietary-supplements),Drinkware material (product.metafields.shopify.drinkware-material),Flavor (product.metafields.shopify.flavor),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Tea input type (product.metafields.shopify.tea-input-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,2026 Margaret's Hope Premium Darjeeling First Flush Black Tea-100g,"<p><strong>This is a pre-booking product.</strong><br data-end=""204"" data-start=""201""><strong>Orders are expected to ship from May 20, 2026.</strong></p>",VAHDAM® USA,"Food, Beverages & Tobacco > Beverages > Tea & Infusions",Single Estate,"black tea, black-teas, darjeeling, first-flush, floral, grocery, growaov-collection, loose-leaf, medium-caffeine, otp, single-estate",true,Title,Default Title,,,,,,,,7P-QWN3-QDC9,0.0,shopify,deny,manual,29.99,29.99,true,true,,,,,LF010004001-BT-USA,https://cdn.shopify.com/s/files/1/2675/9476/files/margaret_s_hope_premium-2.jpg?v=1747981976,1,"",false,2026 Margaret's Hope Premium Darjeeling First Flush Black Tea | VAHDAM®,"Shop 2026 Margaret's Hope Darjeeling First Flush Black Tea. Bright, floral and smooth spring harvest from a celebrated estate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium Caffeine,,'0.6,,what-are-the-tasting-notes-of-this-tea; is-this-a-limited-edition-tea; does-this-tea-contain-caffeine-5; where-is-margarets-hope-estate-located,Loose Leaf,,margarets-hope-premium-darjeeling-first-flush,,'50,,Vacuum Packaged,Loose Leaf | 50 Cups ,,,,,'2026-04-08,margarets-hope-premium-ff-24,FTGFOP1,DJ 76/26,"Darjeeling, India",Spring/First Flush,,,place-1-tea-spoon-leaves-in-a-cup-or-tea-pot; pour-7-fl-oz-200-ml-freshly-boiled-water-over-the-leaves; water-temperature-194-f-212-f-90-c-100-c; brew-for-3-5-mins-strain-the-leaves; can-be-served-without-milk,for-iced-tea-use-2-tea-spoons-brew-for-10-mins; refrigerate-for-3-4-hours-add-ice-cubes-sweetener,Loose Leaf | 50 Cups ,"Grassy, Light-bodied,Nutty",,"Single Estate
First Flush",,,,,'1,,,,,,,,,,,,,,,,,kg,,,true,,,active
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2675/9476/files/3_297efb0e-a765-4baa-a136-c0eb97e4b10d.jpg?v=1777473439,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2675/9476/files/margaret_s_hope_premium-1.jpg?v=1756274905,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2675/9476/files/margaret_s_hope_premium_9d72b957-b160-4384-98b7-60db9478de69.jpg?v=1756274905,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2675/9476/files/5_09ac9915-3529-4c3a-8e37-ab85cea0e0f4.jpg?v=1777473439,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2675/9476/files/11_CN_PN_Teach_me_c47ef239-36d7-40f8-baab-bedb6da5461b.jpg?v=1776167286,6,Castleton Classic Darjeeling Second Flush Black Tea 2025 – VAHDAM®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2675/9476/files/10_farmer_7d6b82e9-6e82-4418-955a-6049d4422694.jpg?v=1776167286,7,Castleton Classic Darjeeling Second Flush Black Tea 2025 – VAHDAM®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-premium-darjeeling-first-flush-black-tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2675/9476/files/Founder_story_c1bee020-e26b-4002-8e28-47fb18059505.jpg?v=1776167286,8,Okayti Classic Darjeeling Second Flush Black Tea 2025 – VAHDAM®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-margarets-hope-moonlight-darjeeling-first-flush-black-tea-50g,2026 Margaret's Hope Moonlight Darjeeling First Flush Black Tea-50g,"<p><strong>This is a pre-booking product.</strong><br data-start=""201"" data-end=""204""><strong>Orders are expected to ship from May 1, 2026.</strong></p>",VAHDAM® USA,"Food, Beverages & Tobacco > Beverages > Tea & Infusions",Single Estate,"2024, black-teas, darjeeling, grocery, growaov-collection, loose-leaf, medium-caffeine, otp, Single estate",false,Title,Default Title,,,,,,,,M5-DCSZ-2IFU,0.0,shopify,deny,manual,41.99,41.99,true,true,,,,,LF005002690-SE,https://cdn.shopify.com/s/files/1/2675/9476/files/MargaretMoonlight.jpg?v=1716813634,1,"",false,2026 Margaret's Hope Moonlight Darjeeling First Flush Black Tea | VAHDAM®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium Caffeine,,'1.6,,what-makes-margarets-hope-moonlight-darjeeling-first-flush-black-tea-special; can-darjeeling-first-flush-black-tea-be-re-steeped-6; how-does-the-altitude-of-the-tea-estate-affect-the-flavor-of-darjeeling-first-flush-black-tea-6; what-is-the-significance-of-the-grading-system-sftgfop-1-for-these-teas-6,Loose Leaf,,margarets-hope-moonlight-darjeeling-first-flush,,'25,,Vacuum Packaged,Loose Leaf | 25 Cups | 1.76 OZ,,,,,'2026-04-02,margarets-hope-premium-ff-24,FTGFOP1,DJ 75/26,Darjeeling,Spring / First Flush,,,place-1-tea-spoon-leaves-in-a-cup-or-tea-pot; pour-7-fl-oz-200-ml-freshly-boiled-water-over-the-leaves; water-temperature-194-f-212-f-90-c-100-c; brew-for-3-5-mins-strain-the-leaves; can-be-served-without-milk,for-iced-tea-use-2-tea-spoons-brew-for-10-mins; refrigerate-for-3-4-hours-add-ice-cubes-sweetener,Loose Leaf | 25 Cups | 1.76 OZ,"Crisp, Fruity & Toasty",,"Single Estate
First Flush",,,,,'10,,,,,,,,,,,,,,,,,kg,,,true,,,draft
2026-margarets-hope-moonlight-darjeeling-first-flush-black-tea-50g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2675/9476/files/Margaret_shope-3_4a4bb348-0bc7-4819-bf1d-0beb91c6ab7a.jpg?v=1777473487,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
